SOILHF,HF,SOIL,Levels1,Levels2,Levels3,Levels4,Category,Type,UseInAnalysis,SuccAlien,NonlinLin,UseInReporting,Sector,Description,SOIL1,SOIL1v
OtherDisturbedVegetation,OtherDisturbedVegetation,OtherDisturbedVegetation,NA,NA,NA,NA,NA,Urban & Rural & Industrial,Other Disturbed Vegetation ,UrbInd,Alien,Nonlin,"Urban, Rural & Industrial",Misc,"Recreation areas and other vegetated areas created for human use, including golf courses, grave yards, vegetated edges of airports, sometimes along roads and any other disturbed areas that have recovered vegetation ",UrbInd,UrbInd
PeatMine,PeatMine,PeatMine,NA,NA,NA,NA,NA,Mines ,Peat Mine ,UrbInd,Alien,Nonlin,"Mines, Wells & Other Energy Features",Misc,Area where vegetation is disturbed ,UrbInd,UrbInd
Pipeline,Pipeline,Pipeline,NA,NA,NA,NA,NA,Vegetated Linear Industrial Features,Pipeline ,SoftLin,Succ,Lin,"Mines, Wells & Other Energy Features",Energy,Area where vegetation is disturbed ,XXX,XXX
RailHardSurface,RailHardSurface,RailHardSurface,NA,NA,NA,NA,NA,Transportation ,Rail – Hard Surface ,HardLin,Alien,Lin,Transportation,Transportation,Usually gravel ,XXX,XXX
RailVegetatedVerge,RailVegetatedVerge,RailVegetatedVerge,NA,NA,NA,NA,NA,Transportation ,Rail – Vegetated Verge ,SoftLin,Succ,Lin,Transportation,Transportation,Vegetated strips along railways ,XXX,XXX
Reservoirs,Reservoirs,Reservoirs,NA,NA,NA,NA,NA,Human-created Water Bodies ,Reservoirs ,HWater,Alien,Nonlin,Human-created Water Bodies,Misc,Man-made lake ,XXX,XXX
RoadHardSurface,RoadHardSurface,RoadHardSurface,NA,NA,NA,NA,NA,Transportation ,Road – Hard Surface ,HardLin,Alien,Lin,Transportation,Transportation,Paved or gravel ,XXX,XXX
RoadTrailVegetated,RoadTrailVegetated,RoadTrailVegetated,NA,NA,NA,NA,NA,Transportation ,Road/Trail (Vegetated) ,SoftLin,Succ,Lin,Transportation,Transportation,Road/Trail without gravel or pavement ,XXX,XXX
RoadVegetatedVerge,RoadVegetatedVerge,RoadVegetatedVerge,NA,NA,NA,NA,NA,Transportation ,Road – Vegetated Verge ,SoftLin,Succ,Lin,Transportation,Transportation,Vegetated strips along paved/gravel roads ,XXX,XXX
RuralResidentialIndustrial,RuralResidentialIndustrial,RuralResidentialIndustrial,NA,NA,NA,NA,NA,Urban & Rural & Industrial,Rural (Residential/Industrial) ,UrbInd,Alien,Nonlin,"Urban, Rural & Industrial",RuralUrban,Small rural development (confounded with rural industrial development) ,UrbInd,UrbInd
SeismicLine,SeismicLine,SeismicLine,NA,NA,NA,NA,NA,Vegetated Linear Industrial Features,Seismic Line ,SoftLin,Succ,Lin,"Mines, Wells & Other Energy Features",Energy,Area where vegetation is disturbed ,XXX,XXX
TransmissionLine,TransmissionLine,TransmissionLine,NA,NA,NA,NA,NA,Vegetated Linear Industrial Features,Transmission Line ,SoftLin,Succ,Lin,"Mines, Wells & Other Energy Features",Energy,Area where vegetation is disturbed ,XXX,XXX
Urban,Urban,Urban,NA,NA,NA,NA,NA,Urban & Rural & Industrial,Urban ,UrbInd,Alien,Nonlin,"Urban, Rural & Industrial",RuralUrban,Cities and towns ,UrbInd,UrbInd
WellSite,WellSite,WellSite,NA,NA,NA,NA,NA,Wells ,Well Site ,UrbInd,Alien,Nonlin,"Mines, Wells & Other Energy Features",Energy,Well pads created by the energy industry ,UrbInd,UrbInd
WindGenerationFacility,WindGenerationFacility,WindGenerationFacility,NA,NA,NA,NA,NA,Urban & Rural & Industrial,Wind Generation Facility,UrbInd,Alien,Nonlin,"Mines, Wells & Other Energy Features",Energy,Area around the windmill ,UrbInd,UrbInd
